timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/04/09 17:26:20.246, 0 %, 0 %, 0 MiB, 15360 MiB, 25
2026/04/09 17:26:23.574, 0 %, 0 %, 11299 MiB, 15360 MiB, 27
2026/04/09 17:26:26.623, 0 %, 0 %, 11299 MiB, 15360 MiB, 27
2026/04/09 17:26:29.709, 0 %, 0 %, 11299 MiB, 15360 MiB, 27
2026/04/09 17:26:32.806, 0 %, 0 %, 11313 MiB, 15360 MiB, 28
2026/04/09 17:26:35.846, 0 %, 0 %, 11313 MiB, 15360 MiB, 28
2026/04/09 17:26:38.886, 0 %, 0 %, 11313 MiB, 15360 MiB, 28
2026/04/09 17:26:41.938, 0 %, 0 %, 11313 MiB, 15360 MiB, 29
2026/04/09 17:26:44.993, 0 %, 0 %, 11313 MiB, 15360 MiB, 29
2026/04/09 17:26:48.058, 30 %, 2 %, 11313 MiB, 15360 MiB, 29
2026/04/09 17:26:51.098, 35 %, 2 %, 11313 MiB, 15360 MiB, 29
2026/04/09 17:26:54.147, 32 %, 2 %, 11313 MiB, 15360 MiB, 30
2026/04/09 17:26:57.182, 30 %, 2 %, 11313 MiB, 15360 MiB, 30
2026/04/09 17:27:00.245, 32 %, 2 %, 11313 MiB, 15360 MiB, 30
2026/04/09 17:27:03.284, 33 %, 2 %, 11313 MiB, 15360 MiB, 30
2026/04/09 17:27:06.325, 29 %, 1 %, 11313 MiB, 15360 MiB, 30
2026/04/09 17:27:09.392, 16 %, 1 %, 11313 MiB, 15360 MiB, 30
2026/04/09 17:27:12.494, 27 %, 1 %, 11313 MiB, 15360 MiB, 31
2026/04/09 17:27:15.568, 26 %, 1 %, 11313 MiB, 15360 MiB, 31
2026/04/09 17:27:18.664, 32 %, 2 %, 11313 MiB, 15360 MiB, 31
2026/04/09 17:27:21.775, 34 %, 2 %, 11313 MiB, 15360 MiB, 31
2026/04/09 17:27:24.830, 0 %, 0 %, 11313 MiB, 15360 MiB, 31
2026/04/09 17:27:27.875, 0 %, 0 %, 11313 MiB, 15360 MiB, 31
2026/04/09 17:27:30.997, 0 %, 0 %, 11313 MiB, 15360 MiB, 31
2026/04/09 17:27:34.070, 0 %, 0 %, 11313 MiB, 15360 MiB, 31
2026/04/09 17:27:37.129, 35 %, 2 %, 11313 MiB, 15360 MiB, 32
2026/04/09 17:27:40.169, 37 %, 2 %, 11313 MiB, 15360 MiB, 32
2026/04/09 17:27:43.211, 34 %, 1 %, 11313 MiB, 15360 MiB, 32
