timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/03/26 20:53:48.886, 32 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:53:52.095, 35 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:53:55.341, 29 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:53:58.513, 25 %, 1 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:54:01.830, 22 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:54:04.898, 45 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:54:08.194, 23 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:54:11.438, 23 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:54:14.501, 39 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:54:17.660, 24 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:54:20.869, 34 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:54:24.095, 24 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:54:27.288, 36 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:54:30.557, 31 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:54:33.822, 27 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:54:36.952, 36 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:54:40.162, 23 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:54:43.443, 24 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:54:46.655, 27 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:54:49.822, 25 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:54:53.026, 20 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:54:56.140, 35 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:54:59.218, 40 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:55:02.381, 22 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:55:05.637, 24 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:55:08.758, 37 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:55:11.897, 19 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:55:15.070, 28 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:55:18.244, 28 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:55:21.527, 26 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:55:24.670, 29 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:55:27.910, 27 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:55:31.168, 25 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:55:34.359, 35 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:55:37.559, 29 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:55:40.748, 31 %, 1 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:55:43.944, 31 %, 1 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:55:47.138, 24 %, 1 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:55:50.308, 33 %, 1 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:55:53.448, 35 %, 1 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:55:56.543, 46 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:55:59.714, 30 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:56:02.885, 23 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:56:06.019, 26 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:56:09.217, 30 %, 1 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:56:12.477, 22 %, 1 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:56:15.646, 22 %, 1 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:56:18.783, 31 %, 1 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:56:21.919, 31 %, 1 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:56:25.092, 32 %, 1 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:56:28.319, 27 %, 1 %, 11313 MiB, 15360 MiB, 77
