timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/04/06 17:44:58.449, 0 %, 0 %, 0 MiB, 15360 MiB, 56
2026/04/06 17:45:01.577, 0 %, 0 %, 11299 MiB, 15360 MiB, 58
2026/04/06 17:45:04.647, 0 %, 0 %, 11299 MiB, 15360 MiB, 58
2026/04/06 17:45:07.694, 0 %, 0 %, 11299 MiB, 15360 MiB, 58
2026/04/06 17:45:10.741, 0 %, 0 %, 11299 MiB, 15360 MiB, 58
2026/04/06 17:45:14.136, 0 %, 0 %, 11313 MiB, 15360 MiB, 59
2026/04/06 17:45:17.341, 0 %, 0 %, 11313 MiB, 15360 MiB, 59
2026/04/06 17:45:20.388, 0 %, 0 %, 11313 MiB, 15360 MiB, 59
2026/04/06 17:45:23.436, 11 %, 2 %, 11313 MiB, 15360 MiB, 60
2026/04/06 17:45:26.485, 0 %, 0 %, 11313 MiB, 15360 MiB, 60
2026/04/06 17:45:29.612, 0 %, 0 %, 11313 MiB, 15360 MiB, 60
2026/04/06 17:45:32.689, 26 %, 1 %, 11313 MiB, 15360 MiB, 60
2026/04/06 17:45:35.742, 26 %, 1 %, 11313 MiB, 15360 MiB, 60
2026/04/06 17:45:38.821, 26 %, 1 %, 11313 MiB, 15360 MiB, 61
2026/04/06 17:45:41.876, 26 %, 1 %, 11313 MiB, 15360 MiB, 61
2026/04/06 17:45:44.928, 26 %, 1 %, 11313 MiB, 15360 MiB, 61
2026/04/06 17:45:47.978, 26 %, 1 %, 11313 MiB, 15360 MiB, 62
2026/04/06 17:45:51.026, 27 %, 1 %, 11313 MiB, 15360 MiB, 62
2026/04/06 17:45:54.072, 27 %, 1 %, 11313 MiB, 15360 MiB, 62
2026/04/06 17:45:57.119, 26 %, 1 %, 11313 MiB, 15360 MiB, 62
2026/04/06 17:46:00.172, 25 %, 1 %, 11313 MiB, 15360 MiB, 63
2026/04/06 17:46:03.221, 26 %, 1 %, 11313 MiB, 15360 MiB, 63
2026/04/06 17:46:06.268, 26 %, 1 %, 11313 MiB, 15360 MiB, 63
2026/04/06 17:46:09.319, 26 %, 1 %, 11313 MiB, 15360 MiB, 63
2026/04/06 17:46:12.368, 26 %, 1 %, 11313 MiB, 15360 MiB, 63
2026/04/06 17:46:15.431, 0 %, 0 %, 11313 MiB, 15360 MiB, 63
2026/04/06 17:46:18.493, 0 %, 0 %, 11313 MiB, 15360 MiB, 63
2026/04/06 17:46:21.570, 0 %, 0 %, 11313 MiB, 15360 MiB, 63
2026/04/06 17:46:24.650, 0 %, 0 %, 11313 MiB, 15360 MiB, 63
2026/04/06 17:46:27.700, 41 %, 1 %, 11313 MiB, 15360 MiB, 63
2026/04/06 17:46:30.754, 39 %, 1 %, 11313 MiB, 15360 MiB, 64
2026/04/06 17:46:33.802, 40 %, 1 %, 11313 MiB, 15360 MiB, 64
2026/04/06 17:46:36.849, 39 %, 1 %, 11313 MiB, 15360 MiB, 64
2026/04/06 17:46:39.895, 40 %, 1 %, 11313 MiB, 15360 MiB, 65
2026/04/06 17:46:42.943, 38 %, 1 %, 11313 MiB, 15360 MiB, 65
2026/04/06 17:46:45.991, 38 %, 1 %, 11313 MiB, 15360 MiB, 65
2026/04/06 17:46:49.040, 39 %, 1 %, 11313 MiB, 15360 MiB, 66
2026/04/06 17:46:52.088, 40 %, 1 %, 11313 MiB, 15360 MiB, 66
2026/04/06 17:46:55.136, 39 %, 1 %, 11313 MiB, 15360 MiB, 66
2026/04/06 17:46:58.185, 39 %, 1 %, 11313 MiB, 15360 MiB, 66
2026/04/06 17:47:01.235, 39 %, 1 %, 11313 MiB, 15360 MiB, 67
2026/04/06 17:47:04.285, 38 %, 1 %, 11313 MiB, 15360 MiB, 67
2026/04/06 17:47:07.336, 40 %, 1 %, 11313 MiB, 15360 MiB, 67
2026/04/06 17:47:10.386, 39 %, 1 %, 11313 MiB, 15360 MiB, 67
2026/04/06 17:47:13.433, 39 %, 1 %, 11313 MiB, 15360 MiB, 68
2026/04/06 17:47:16.500, 39 %, 1 %, 11313 MiB, 15360 MiB, 68
2026/04/06 17:47:19.554, 40 %, 1 %, 11313 MiB, 15360 MiB, 68
2026/04/06 17:47:22.619, 40 %, 1 %, 11313 MiB, 15360 MiB, 68
2026/04/06 17:47:25.681, 39 %, 1 %, 11313 MiB, 15360 MiB, 69
2026/04/06 17:47:28.730, 38 %, 1 %, 11313 MiB, 15360 MiB, 69
2026/04/06 17:47:31.780, 40 %, 1 %, 11313 MiB, 15360 MiB, 69
2026/04/06 17:47:34.829, 41 %, 1 %, 11313 MiB, 15360 MiB, 69
2026/04/06 17:47:37.878, 38 %, 1 %, 11313 MiB, 15360 MiB, 69
2026/04/06 17:47:40.929, 38 %, 1 %, 11313 MiB, 15360 MiB, 68
2026/04/06 17:47:43.976, 39 %, 1 %, 11313 MiB, 15360 MiB, 68
2026/04/06 17:47:47.038, 39 %, 1 %, 11313 MiB, 15360 MiB, 68
2026/04/06 17:47:50.089, 39 %, 1 %, 11313 MiB, 15360 MiB, 68
2026/04/06 17:47:53.137, 38 %, 1 %, 11313 MiB, 15360 MiB, 68
2026/04/06 17:47:56.187, 39 %, 1 %, 11313 MiB, 15360 MiB, 69
2026/04/06 17:47:59.236, 40 %, 1 %, 11313 MiB, 15360 MiB, 69
