timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/03/19 12:36:50.804, 36 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:36:53.918, 31 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:36:56.990, 39 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:37:00.049, 37 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:37:03.103, 38 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:37:06.185, 39 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:37:09.277, 34 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:37:12.340, 34 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:37:15.393, 32 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:37:18.456, 24 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:37:21.570, 42 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:37:24.661, 39 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:37:27.775, 23 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:37:30.894, 35 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:37:33.967, 40 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:37:37.016, 30 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:37:40.071, 40 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:37:43.146, 39 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:37:46.212, 39 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:37:49.265, 39 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:37:52.319, 33 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:37:55.376, 39 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:37:58.447, 36 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:38:01.511, 40 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:38:04.579, 35 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:38:07.647, 38 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:38:10.732, 37 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:38:13.852, 40 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:38:17.154, 39 %, 2 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:38:20.246, 38 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:38:23.363, 27 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:38:26.487, 36 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:38:29.587, 25 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:38:32.750, 27 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:38:35.884, 27 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:38:38.964, 33 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:38:42.020, 37 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:38:45.099, 33 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:38:48.150, 42 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:38:51.235, 37 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:38:54.291, 37 %, 2 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:38:57.353, 33 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:39:00.474, 26 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:39:03.544, 37 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:39:06.642, 37 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:39:09.768, 37 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:39:12.873, 37 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:39:15.983, 36 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:39:19.056, 32 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:39:22.107, 30 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:39:25.209, 25 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:39:28.289, 27 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:39:31.340, 42 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:39:34.389, 36 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:39:37.434, 40 %, 2 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:39:40.489, 39 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:39:43.562, 34 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:39:46.901, 14 %, 0 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:39:50.034, 39 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:39:53.136, 33 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:39:56.197, 38 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:39:59.245, 40 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:40:02.295, 37 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:40:05.356, 39 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:40:08.408, 36 %, 2 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:40:11.473, 36 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:40:14.522, 33 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:40:17.598, 37 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:40:20.699, 38 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:40:23.808, 36 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:40:26.931, 35 %, 1 %, 11313 MiB, 15360 MiB, 37
